AJ000684	Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Mycobacteriaceae;Mycobacterium;
EF599163	Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;
AY859683	Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Mycobacteriaceae;Mycobacterium;
AY883036	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;
DQ656489	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquincola;
D85479	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Couchioplanes;
DQ915443	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Maritimibacter;
EF626689	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Nocardioides;
AB081760	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;
AB006176	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lentzea;
AB273741	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;
AJ006530	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiorhodospira;
AY555791	Bacteria;Acidobacteriota;Acidobacteria_Gp2;Acidobacteria_Gp2_incertae_sedis;Acidobacteria_Gp2_incertae_sedis;Gp2;
EF472955	Bacteria;Actinomycetota;Actinobacteria;Propionibacteriales;Kribbellaceae;Kribbella;
DQ196623	Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae_1;Clostridium_sensu stricto;
GQ153270	Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Mycobacteriaceae;Mycobacterium;
GQ381309	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharopolyspora;
GQ906587	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Pseudonocardia;
AB562589	Bacteria;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio;
HQ157192	Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Gordoniaceae;Williamsia;
JF742631	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Nonomuraea;
JQ807219	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Ruegeria;
AY528866	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;
D16418	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Rhodovulum;
D16421	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Phaeovulum;
D30775	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;
AJ583158	Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Metabacillus;
AJ585986	Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;
AF082562	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas;
AF251941	Archaea;Euryarchaeota;Halobacteria;Natrialbales;Natrialbaceae;Natrialba;
AY876940	Bacteria;Actinomycetota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;
AY769083	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;
AB178392	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;
EU014684	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;
EU551683	Bacteria;Actinomycetota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Lentzea;
FM244739	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;
AB126621	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
Z00044	Bacteria;Cyanobacteriota;Chloroplast;Chloroplast_incertae_sedis;Chloroplast;Streptophyta;
AB368917	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;
AM712634	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Parvibaculaceae;Anderseniella;
EF623998	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Croceicoccus;
AB081757	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;
AB278593	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Hoylesella;
EU046272	Bacteria;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium;
AB297922	Bacteria;Verrucomicrobiota;Opitutia;Puniceicoccales;Puniceicoccaceae;Pelagicoccus;
AJ811588	Bacteria;Pseudomonadota;Deltaproteobacteria;Myxococcales;Myxococcaceae;Corallococcus;
D85483	Bacteria;Actinomycetota;Actinobacteria;Glycomycetales;Glycomycetaceae;Glycomyces;
D86943	Bacteria;Actinomycetota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Actinomadura;
DQ460469	Bacteria;Actinomycetota;Actinobacteria;Glycomycetales;Glycomycetaceae;Glycomyces;
EU124668	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Thioalkalibacteraceae;Thioalkalibacter;
AB196712	Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Micromonospora;
AB243866	Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Amphibacillus;
AB245362	Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dokdonella;
AB264134	Bacteria;Deinococcota;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;
AB304087	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Tanticharoenia;
AM885866	Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas;
DQ459874	Bacteria;Bacillota;Bacilli;Caryophanales;Paenibacillaceae;Cohnella;
EF144148	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;
EF457422	Bacteria;Acidobacteriota;Acidobacteria_Gp15;Acidobacteria_Gp15_incertae_sedis;Acidobacteria_Gp15_incertae_sedis;Gp15;
CP000968	Archaea;Korarchaeota;Korarchaeota_incertae_sedis;Korarchaeota_incertae_sedis;Korarchaeota_incertae_sedis;Candidatus_Korarchaeum;
FJ478555	Bacteria;Armatimonadota;Armatimonadota_incertae_sedis;Armatimonadota_incertae_sedis;Armatimonadota_incertae_sedis;Armatimonadetes_gp4;
AY193147	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
AY193140	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
AF050610	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
AY193296	Bacteria;Microgenomates;Microgenomates_incertae_sedis;Microgenomates_incertae_sedis;Microgenomates_incertae_sedis;Microgenomates_genera_incertae_sedis;
AY193205	Bacteria;Microgenomates;Microgenomates_incertae_sedis;Microgenomates_incertae_sedis;Microgenomates_incertae_sedis;Microgenomates_genera_incertae_sedis;
AY193134	Bacteria;Microgenomates;Microgenomates_incertae_sedis;Microgenomates_incertae_sedis;Microgenomates_incertae_sedis;Microgenomates_genera_incertae_sedis;
AY193167	Bacteria;Microgenomates;Microgenomates_incertae_sedis;Microgenomates_incertae_sedis;Microgenomates_incertae_sedis;Microgenomates_genera_incertae_sedis;
AF432141	Bacteria;Candidatus_Saccharibacteria;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
AF269000	Bacteria;Candidatus_Saccharibacteria;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
AF385506	Bacteria;Candidatus_Saccharibacteria;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
AF268994	Bacteria;Candidatus_Saccharibacteria;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Candidatus_Saccharibacteria_incertae_sedis;Saccharibacteria_genera_incertae_sedis;
U54470	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia;
FR733684	Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanolobus;
AJ401282	Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Corynebacteriaceae;Corynebacterium;
FR733689	Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Mesobacillus;
AB365975	Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Secundilactobacillus;
AY121439	Bacteria;Bacillota;Bacilli;Caryophanales;Bacillaceae;Virgibacillus;
AY281146	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas;
EU188441	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinomonas;
AY193186	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
AY193136	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
AY193125	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
AF316799	Bacteria;Parcubacteria;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_incertae_sedis;Parcubacteria_genera_incertae_sedis;
